!! Predictions spanning range 2319 - 143231 [R1]
# EVM prediction: Mode:STANDARD S-ratio: 10000.00 2319-3353 orient(+) score(4140.00) noncoding_equivalent(0.41) raw_noncoding(0.00) offset(0.00) 
2319	3353	single+	1	3	{Augustus_model.g2271.t1;Augustus},{GlimmerHMM_glimmerT_2753-T1;GlimmerHMM}
53190	53112	INTRON			{GlimmerHMM_glimmerT_2771-T1;GlimmerHMM},{GeneMark_model.2954_t;GeneMark},{HiQ_model.g2290.t1;HiQ},{ev_type:exonerate/ID=match.2566964.2530/Target=lcl|KQ954464_1_prot_KWU47538_1_264;exonerate}
53247	53191	internal-	4	6	{GlimmerHMM_glimmerT_2771-T1;GlimmerHMM},{GeneMark_model.2954_t;GeneMark},{HiQ_model.g2290.t1;HiQ},{ev_type:exonerate/ID=match.2566964.2530/Target=lcl|KQ954464_1_prot_KWU47538_1_264;exonerate}
53377	53248	INTRON			{GlimmerHMM_glimmerT_2771-T1;GlimmerHMM},{GeneMark_model.2954_t;GeneMark},{HiQ_model.g2290.t1;HiQ},{ev_type:exonerate/ID=match.2566964.2530/Target=lcl|KQ954464_1_prot_KWU47538_1_264;exonerate}
53419	53378	initial-	4	6	{GlimmerHMM_glimmerT_2771-T1;GlimmerHMM},{GeneMark_model.2954_t;GeneMark},{HiQ_model.g2290.t1;HiQ}

# EVM prediction: Mode:STANDARD S-ratio: 2.78 53626-56336 orient(-) score(8677.00) noncoding_equivalent(3125.00) raw_noncoding(3430.00) offset(305.00) 
54065	53626	terminal-	5	6	{GeneMark_model.2955_t;GeneMark},{Augustus_model.g2291.t1;Augustus},{GlimmerHMM_glimmerT_2772-T1;GlimmerHMM}
54136	54066	INTRON			{GeneMark_model.2955_t;GeneMark},{Augustus_model.g2291.t1;Augustus},{GlimmerHMM_glimmerT_2772-T1;GlimmerHMM}
54476	54137	internal-	4	4	{GeneMark_model.2955_t;GeneMark},{Augustus_model.g2291.t1;Augustus},{GlimmerHMM_glimmerT_2772-T1;GlimmerHMM}
54550	54477	INTRON			{GeneMark_model.2955_t;GeneMark},{Augustus_model.g2291.t1;Augustus},{GlimmerHMM_glimmerT_2772-T1;GlimmerHMM}
54648	54551	internal-	5	6	{GeneMark_model.2955_t;GeneMark},{Augustus_model.g2291.t1;Augustus},{GlimmerHMM_glimmerT_2772-T1;GlimmerHMM}
54711	54649	INTRON			{GeneMark_model.2955_t;GeneMark},{Augustus_model.g2291.t1;Augustus},{GlimmerHMM_glimmerT_2772-T1;GlimmerHMM}
55137	54712	internal-	5	4	{GeneMark_model.2955_t;GeneMark},{Augustus_model.g2291.t1;Augustus},{GlimmerHMM_glimmerT_2772-T1;GlimmerHMM}
55202	55138	INTRON			{GeneMark_model.2955_t;GeneMark},{Augustus_model.g2291.t1;Augustus},{GlimmerHMM_glimmerT_2772-T1;GlimmerHMM}
55478	55203	internal-	5	4	{GeneMark_model.2955_t;GeneMark},{Augustus_model.g2291.t1;Augustus},{GlimmerHMM_glimmerT_2772-T1;GlimmerHMM}
55553	55479	INTRON			{GeneMark_model.2955_t;GeneMark},{Augustus_model.g2291.t1;Augustus},{GlimmerHMM_glimmerT_2772-T1;GlimmerHMM}
55703	55554	internal-	5	4	{GeneMark_model.2955_t;GeneMark},{Augustus_model.g2291.t1;Augustus},{GlimmerHMM_glimmerT_2772-T1;GlimmerHMM}
55777	55704	INTRON			{GeneMark_model.2955_t;GeneMark},{Augustus_model.g2291.t1;Augustus},{snap_scaffold_6-snap.326-T1;snap},{GlimmerHMM_glimmerT_2772-T1;GlimmerHMM}
56261	55778	internal-	4	4	{GeneMark_model.2955_t;GeneMark},{Augustus_model.g2291.t1;Augustus}
56324	56262	INTRON			{GeneMark_model.2955_t;GeneMark},{Augustus_model.g2291.t1;Augustus}
56336	56325	initial-	4	6	{GeneMark_model.2955_t;GeneMark},{Augustus_model.g2291.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 25.17 56649-62031 orient(+) score(46493.00) noncoding_equivalent(1847.02) raw_noncoding(2206.00) offset(358.98) 
56649	56651	initial+	1	3	{GeneMark_model.2956_t;GeneMark},{Augustus_model.g2292.t1;Augustus},{GlimmerHMM_glimmerT_2773-T1;GlimmerHMM}
56652	56820	INTRON			{GeneMark_model.2956_t;GeneMark},{Augustus_model.g2292.t1;Augustus},{GlimmerHMM_glimmerT_2773-T1;GlimmerHMM}
56821	56864	internal+	1	2	{GeneMark_model.2956_t;GeneMark},{Augustus_model.g2292.t1;Augustus},{GlimmerHMM_glimmerT_2773-T1;GlimmerHMM}
56865	56967	INTRON			{GeneMark_model.2956_t;GeneMark},{Augustus_model.g2292.t1;Augustus},{GlimmerHMM_glimmerT_2773-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.2508/Target=lcl|BJWK01000005_1_prot_GEM08283_1_2300;exonerate},{ev_type:exonerate/ID=match.2566964.2507/Target=lcl|LCTV02000005_1_prot_PRQ75230_1_5884;exonerate},{ev_type:exonerate/ID=match.2566964.2504/Target=lcl|KQ954464_1_prot_KWU47540_1_266;exonerate},{ev_type:exonerate/ID=match.2566964.2505/Target=lcl|PJQD01000035_1_prot_POY73713_1_3284;exonerate}
56968	57385	internal+	3	3	{GeneMark_model.2956_t;GeneMark},{Augustus_model.g2292.t1;Augustus},{GlimmerHMM_glimmerT_2773-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.2508/Target=lcl|BJWK01000005_1_prot_GEM08283_1_2300;exonerate},{ev_type:exonerate/ID=match.2566964.2507/Target=lcl|LCTV02000005_1_prot_PRQ75230_1_5884;exonerate},{ev_type:exonerate/ID=match.2566964.2504/Target=lcl|KQ954464_1_prot_KWU47540_1_266;exonerate},{ev_type:exonerate/ID=match.2566964.2505/Target=lcl|PJQD01000035_1_prot_POY73713_1_3284;exonerate}
57386	57447	INTRON			{GeneMark_model.2956_t;GeneMark},{Augustus_model.g2292.t1;Augustus},{GlimmerHMM_glimmerT_2773-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.2508/Target=lcl|BJWK01000005_1_prot_GEM08283_1_2300;exonerate},{ev_type:exonerate/ID=match.2566964.2507/Target=lcl|LCTV02000005_1_prot_PRQ75230_1_5884;exonerate},{ev_type:exonerate/ID=match.2566964.2510/Target=lcl|NW_017264943_1_prot_XP_018268256_1_6504;exonerate},{ev_type:exonerate/ID=match.2566964.2504/Target=lcl|KQ954464_1_prot_KWU47540_1_266;exonerate},{ev_type:exonerate/ID=match.2566964.2505/Target=lcl|PJQD01000035_1_prot_POY73713_1_3284;exonerate}
57448	61195	internal+	1	1	{GeneMark_model.2956_t;GeneMark},{Augustus_model.g2292.t1;Augustus},{GlimmerHMM_glimmerT_2773-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.2508/Target=lcl|BJWK01000005_1_prot_GEM08283_1_2300;exonerate},{ev_type:exonerate/ID=match.2566964.2507/Target=lcl|LCTV02000005_1_prot_PRQ75230_1_5884;exonerate},{ev_type:exonerate/ID=match.2566964.2510/Target=lcl|NW_017264943_1_prot_XP_018268256_1_6504;exonerate},{ev_type:exonerate/ID=match.2566964.2504/Target=lcl|KQ954464_1_prot_KWU47540_1_266;exonerate},{ev_type:exonerate/ID=match.2566964.2505/Target=lcl|PJQD01000035_1_prot_POY73713_1_3284;exonerate}
61196	61258	INTRON			{GeneMark_model.2956_t;GeneMark},{Augustus_model.g2292.t1;Augustus},{GlimmerHMM_glimmerT_2773-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.2508/Target=lcl|BJWK01000005_1_prot_GEM08283_1_2300;exonerate},{ev_type:exonerate/ID=match.2566964.2507/Target=lcl|LCTV02000005_1_prot_PRQ75230_1_5884;exonerate},{ev_type:exonerate/ID=match.2566964.2510/Target=lcl|NW_017264943_1_prot_XP_018268256_1_6504;exonerate},{ev_type:exonerate/ID=match.2566964.2504/Target=lcl|KQ954464_1_prot_KWU47540_1_266;exonerate},{ev_type:exonerate/ID=match.2566964.2505/Target=lcl|PJQD01000035_1_prot_POY73713_1_3284;exonerate}
61259	61883	internal+	2	2	{GeneMark_model.2956_t;GeneMark},{Augustus_model.g2292.t1;Augustus},{GlimmerHMM_glimmerT_2773-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.2508/Target=lcl|BJWK01000005_1_prot_GEM08283_1_2300;exonerate},{ev_type:exonerate/ID=match.2566964.2507/Target=lcl|LCTV02000005_1_prot_PRQ75230_1_5884;exonerate},{ev_type:exonerate/ID=match.2566964.2510/Target=lcl|NW_017264943_1_prot_XP_018268256_1_6504;exonerate},{ev_type:exonerate/ID=match.2566964.2504/Target=lcl|KQ954464_1_prot_KWU47540_1_266;exonerate},{ev_type:exonerate/ID=match.2566964.2505/Target=lcl|PJQD01000035_1_prot_POY73713_1_3284;exonerate}
61884	61958	INTRON			{GeneMark_model.2956_t;GeneMark},{Augustus_model.g2292.t1;Augustus},{GlimmerHMM_glimmerT_2773-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.2508/Target=lcl|BJWK01000005_1_prot_GEM08283_1_2300;exonerate},{ev_type:exonerate/ID=match.2566964.2507/Target=lcl|LCTV02000005_1_prot_PRQ75230_1_5884;exonerate},{ev_type:exonerate/ID=match.2566964.2510/Target=lcl|NW_017264943_1_prot_XP_018268256_1_6504;exonerate},{ev_type:exonerate/ID=match.2566964.2504/Target=lcl|KQ954464_1_prot_KWU47540_1_266;exonerate},{ev_type:exonerate/ID=match.2566964.2505/Target=lcl|PJQD01000035_1_prot_POY73713_1_3284;exonerate}
61959	62031	terminal+	3	3	{GeneMark_model.2956_t;GeneMark},{Augustus_model.g2292.t1;Augustus},{GlimmerHMM_glimmerT_2773-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 1.77 62241-64289 orient(-) score(5508.00) noncoding_equivalent(3105.71) raw_noncoding(3658.47) offset(552.76) 
62384	62241	terminal-	4	6	{Augustus_model.g2293.t1;Augustus},{GeneMark_model.2957_t;GeneMark}
62477	62385	INTRON			{Augustus_model.g2293.t1;Augustus},{GeneMark_model.2957_t;GeneMark}
63069	62478	internal-	6	6	{Augustus_model.g2293.t1;Augustus},{GeneMark_model.2957_t;GeneMark},{GlimmerHMM_glimmerT_2774-T1;GlimmerHMM}
63151	63070	INTRON			{Augustus_model.g2293.t1;Augustus},{GeneMark_model.2957_t;GeneMark},{GlimmerHMM_glimmerT_2774-T1;GlimmerHMM}
63681	63152	internal-	4	5	{GeneMark_model.2957_t;GeneMark},{GlimmerHMM_glimmerT_2774-T1;GlimmerHMM}
63743	63682	INTRON			{Augustus_model.g2293.t1;Augustus},{GeneMark_model.2957_t;GeneMark},{GlimmerHMM_glimmerT_2774-T1;GlimmerHMM}
63811	63744	internal-	5	6	{Augustus_model.g2293.t1;Augustus},{GeneMark_model.2957_t;GeneMark},{GlimmerHMM_glimmerT_2774-T1;GlimmerHMM}
63883	63812	INTRON			{Augustus_model.g2293.t1;Augustus},{GeneMark_model.2957_t;GeneMark},{GlimmerHMM_glimmerT_2774-T1;GlimmerHMM}
64005	63884	internal-	6	4	{Augustus_model.g2293.t1;Augustus},{GeneMark_model.2957_t;GeneMark},{GlimmerHMM_glimmerT_2774-T1;GlimmerHMM}
64074	64006	INTRON			{Augustus_model.g2293.t1;Augustus},{GeneMark_model.2957_t;GeneMark}
64289	64075	initial-	4	5	{GeneMark_model.2957_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 3.99 64648-68126 orient(-) score(11725.00) noncoding_equivalent(2939.39) raw_noncoding(3524.27) offset(584.89) 
65658	64648	terminal-	4	6	{GeneMark_model.2958_t;GeneMark}
65725	65659	INTRON			{Augustus_model.g2293.t1;Augustus},{GeneMark_model.2958_t;GeneMark}
65791	65726	internal-	4	6	{Augustus_model.g2293.t1;Augustus},{GeneMark_model.2958_t;GeneMark}
65865	65792	INTRON			{Augustus_model.g2293.t1;Augustus},{GeneMark_model.2958_t;GeneMark}
66644	65866	internal-	5	6	{Augustus_model.g2293.t1;Augustus},{GeneMark_model.2958_t;GeneMark},{GlimmerHMM_glimmerT_2774-T1;GlimmerHMM}
66703	66645	INTRON			{Augustus_model.g2293.t1;Augustus},{GeneMark_model.2958_t;GeneMark}
66820	66704	internal-	5	4	{Augustus_model.g2293.t1;Augustus},{GeneMark_model.2958_t;GeneMark}
66883	66821	INTRON			{Augustus_model.g2293.t1;Augustus},{GeneMark_model.2958_t;GeneMark},{GlimmerHMM_glimmerT_2774-T1;GlimmerHMM}
67041	66884	internal-	6	4	{Augustus_model.g2293.t1;Augustus},{GeneMark_model.2958_t;GeneMark},{GlimmerHMM_glimmerT_2774-T1;GlimmerHMM}
67121	67042	INTRON			{Augustus_model.g2293.t1;Augustus},{snap_scaffold_6-snap.330-T1;snap},{GeneMark_model.2958_t;GeneMark},{GlimmerHMM_glimmerT_2774-T1;GlimmerHMM}
67631	67122	internal-	6	5	{Augustus_model.g2293.t1;Augustus},{GlimmerHMM_glimmerT_2774-T1;GlimmerHMM}
67698	67632	INTRON			{Augustus_model.g2293.t1;Augustus},{GeneMark_model.2958_t;GeneMark},{GlimmerHMM_glimmerT_2774-T1;GlimmerHMM}
67782	67699	internal-	6	5	{Augustus_model.g2293.t1;Augustus},{GeneMark_model.2958_t;GeneMark},{GlimmerHMM_glimmerT_2774-T1;GlimmerHMM}
67878	67783	INTRON			{Augustus_model.g2293.t1;Augustus},{GeneMark_model.2958_t;GeneMark},{GlimmerHMM_glimmerT_2774-T1;GlimmerHMM}
68126	67879	initial-	4	5	{Augustus_model.g2293.t1;Augustus},{GeneMark_model.2958_t;GeneMark},{GlimmerHMM_glimmerT_2774-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 2.20 68443-68837 orient(+) score(1542.00) noncoding_equivalent(702.12) raw_noncoding(850.12) offset(148.00) 
68443	68512	initial+	1	1	{GeneMark_model.2959_t;GeneMark},{GlimmerHMM_glimmerT_2775-T1;GlimmerHMM},{Augustus_model.g2294.t1;Augustus}
68513	68589	INTRON			{GeneMark_model.2959_t;GeneMark},{GlimmerHMM_glimmerT_2775-T1;GlimmerHMM},{Augustus_model.g2294.t1;Augustus},{ev_type:exonerate/ID=match.2566964.2719/Target=lcl|PJQD01000035_1_prot_POY73697_1_3268;exonerate}
68590	68614	internal+	2	2	{GeneMark_model.2959_t;GeneMark},{GlimmerHMM_glimmerT_2775-T1;GlimmerHMM},{Augustus_model.g2294.t1;Augustus},{ev_type:exonerate/ID=match.2566964.2719/Target=lcl|PJQD01000035_1_prot_POY73697_1_3268;exonerate}
68615	68677	INTRON			{GeneMark_model.2959_t;GeneMark},{GlimmerHMM_glimmerT_2775-T1;GlimmerHMM},{Augustus_model.g2294.t1;Augustus},{ev_type:exonerate/ID=match.2566964.2719/Target=lcl|PJQD01000035_1_prot_POY73697_1_3268;exonerate}
68678	68837	terminal+	3	3	{GeneMark_model.2959_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 5.34 69199-74629 orient(+) score(33457.00) noncoding_equivalent(6265.00) raw_noncoding(8342.40) offset(2077.40) 
69199	69315	initial+	1	3	{GeneMark_model.2960_t;GeneMark}
69316	69378	INTRON			{GeneMark_model.2960_t;GeneMark}
69379	69807	internal+	1	3	{GeneMark_model.2960_t;GeneMark},{Augustus_model.g2294.t1;Augustus}
69808	69884	INTRON			{GeneMark_model.2960_t;GeneMark},{GlimmerHMM_glimmerT_2775-T1;GlimmerHMM},{Augustus_model.g2294.t1;Augustus}
69885	70056	internal+	1	1	{GeneMark_model.2960_t;GeneMark},{Augustus_model.g2294.t1;Augustus}
70057	70129	INTRON			{GeneMark_model.2960_t;GeneMark},{Augustus_model.g2294.t1;Augustus}
70130	70195	internal+	2	1	{GeneMark_model.2960_t;GeneMark},{Augustus_model.g2294.t1;Augustus}
70196	70265	INTRON			{Augustus_model.g2294.t1;Augustus}
70266	70314	internal+	2	2	{Augustus_model.g2294.t1;Augustus}
70315	70375	INTRON			{GeneMark_model.2960_t;GeneMark}
70376	70460	internal+	3	3	{GeneMark_model.2960_t;GeneMark},{GlimmerHMM_glimmerT_2775-T1;GlimmerHMM}
70461	70525	INTRON			{GeneMark_model.2960_t;GeneMark},{GlimmerHMM_glimmerT_2775-T1;GlimmerHMM},{Augustus_model.g2294.t1;Augustus}
70526	70594	internal+	1	3	{GeneMark_model.2960_t;GeneMark},{Augustus_model.g2294.t1;Augustus}
70595	70657	INTRON			{GeneMark_model.2960_t;GeneMark},{Augustus_model.g2294.t1;Augustus}
70658	70740	internal+	1	2	{GeneMark_model.2960_t;GeneMark},{Augustus_model.g2294.t1;Augustus}
70741	71013	INTRON			{GeneMark_model.2960_t;GeneMark},{Augustus_model.g2294.t1;Augustus}
71014	71206	internal+	3	3	{GeneMark_model.2960_t;GeneMark},{Augustus_model.g2294.t1;Augustus}
71207	71344	INTRON			{GeneMark_model.2960_t;GeneMark},{GlimmerHMM_glimmerT_2775-T1;GlimmerHMM},{Augustus_model.g2294.t1;Augustus},{ev_type:exonerate/ID=match.2566964.2531/Target=lcl|LCTV02000005_1_prot_PRQ75099_1_5753;exonerate},{ev_type:exonerate/ID=match.2566964.2532/Target=lcl|BJWK01000005_1_prot_GEM08397_1_2414;exonerate},{ev_type:exonerate/ID=match.2566964.2537/Target=lcl|NW_017264929_1_prot_XP_018273549_1_1060;exonerate},{ev_type:exonerate/ID=match.2566964.2529/Target=lcl|KQ954464_1_prot_KWU47545_1_271;exonerate}
71345	71512	internal+	1	3	{GeneMark_model.2960_t;GeneMark},{GlimmerHMM_glimmerT_2775-T1;GlimmerHMM},{Augustus_model.g2294.t1;Augustus},{ev_type:exonerate/ID=match.2566964.2531/Target=lcl|LCTV02000005_1_prot_PRQ75099_1_5753;exonerate},{ev_type:exonerate/ID=match.2566964.2532/Target=lcl|BJWK01000005_1_prot_GEM08397_1_2414;exonerate},{ev_type:exonerate/ID=match.2566964.2537/Target=lcl|NW_017264929_1_prot_XP_018273549_1_1060;exonerate},{ev_type:exonerate/ID=match.2566964.2529/Target=lcl|KQ954464_1_prot_KWU47545_1_271;exonerate}
71513	71681	INTRON			{GeneMark_model.2960_t;GeneMark},{GlimmerHMM_glimmerT_2775-T1;GlimmerHMM},{Augustus_model.g2294.t1;Augustus},{ev_type:exonerate/ID=match.2566964.2531/Target=lcl|LCTV02000005_1_prot_PRQ75099_1_5753;exonerate},{ev_type:exonerate/ID=match.2566964.2532/Target=lcl|BJWK01000005_1_prot_GEM08397_1_2414;exonerate},{ev_type:exonerate/ID=match.2566964.2537/Target=lcl|NW_017264929_1_prot_XP_018273549_1_1060;exonerate},{ev_type:exonerate/ID=match.2566964.2529/Target=lcl|KQ954464_1_prot_KWU47545_1_271;exonerate}
71682	71840	internal+	1	3	{GeneMark_model.2960_t;GeneMark},{GlimmerHMM_glimmerT_2775-T1;GlimmerHMM},{Augustus_model.g2294.t1;Augustus},{ev_type:exonerate/ID=match.2566964.2531/Target=lcl|LCTV02000005_1_prot_PRQ75099_1_5753;exonerate},{ev_type:exonerate/ID=match.2566964.2532/Target=lcl|BJWK01000005_1_prot_GEM08397_1_2414;exonerate},{ev_type:exonerate/ID=match.2566964.2537/Target=lcl|NW_017264929_1_prot_XP_018273549_1_1060;exonerate},{ev_type:exonerate/ID=match.2566964.2529/Target=lcl|KQ954464_1_prot_KWU47545_1_271;exonerate}
71841	71906	INTRON			{GeneMark_model.2960_t;GeneMark},{GlimmerHMM_glimmerT_2775-T1;GlimmerHMM},{Augustus_model.g2294.t1;Augustus},{ev_type:exonerate/ID=match.2566964.2531/Target=lcl|LCTV02000005_1_prot_PRQ75099_1_5753;exonerate},{ev_type:exonerate/ID=match.2566964.2528/Target=lcl|PJQD01000035_1_prot_POY73695_1_3266;exonerate},{ev_type:exonerate/ID=match.2566964.2532/Target=lcl|BJWK01000005_1_prot_GEM08397_1_2414;exonerate},{ev_type:exonerate/ID=match.2566964.2537/Target=lcl|NW_017264929_1_prot_XP_018273549_1_1060;exonerate},{ev_type:exonerate/ID=match.2566964.2529/Target=lcl|KQ954464_1_prot_KWU47545_1_271;exonerate}
71907	72310	internal+	1	2	{GeneMark_model.2960_t;GeneMark},{GlimmerHMM_glimmerT_2775-T1;GlimmerHMM},{Augustus_model.g2294.t1;Augustus},{ev_type:exonerate/ID=match.2566964.2531/Target=lcl|LCTV02000005_1_prot_PRQ75099_1_5753;exonerate},{ev_type:exonerate/ID=match.2566964.2528/Target=lcl|PJQD01000035_1_prot_POY73695_1_3266;exonerate},{ev_type:exonerate/ID=match.2566964.2532/Target=lcl|BJWK01000005_1_prot_GEM08397_1_2414;exonerate},{ev_type:exonerate/ID=match.2566964.2537/Target=lcl|NW_017264929_1_prot_XP_018273549_1_1060;exonerate},{ev_type:exonerate/ID=match.2566964.2529/Target=lcl|KQ954464_1_prot_KWU47545_1_271;exonerate}
72311	72371	INTRON			{GeneMark_model.2960_t;GeneMark},{GlimmerHMM_glimmerT_2775-T1;GlimmerHMM},{Augustus_model.g2294.t1;Augustus},{ev_type:exonerate/ID=match.2566964.2531/Target=lcl|LCTV02000005_1_prot_PRQ75099_1_5753;exonerate},{ev_type:exonerate/ID=match.2566964.2528/Target=lcl|PJQD01000035_1_prot_POY73695_1_3266;exonerate},{ev_type:exonerate/ID=match.2566964.2532/Target=lcl|BJWK01000005_1_prot_GEM08397_1_2414;exonerate},{ev_type:exonerate/ID=match.2566964.2537/Target=lcl|NW_017264929_1_prot_XP_018273549_1_1060;exonerate},{ev_type:exonerate/ID=match.2566964.2529/Target=lcl|KQ954464_1_prot_KWU47545_1_271;exonerate}
72372	72937	internal+	3	1	{GeneMark_model.2960_t;GeneMark},{GlimmerHMM_glimmerT_2775-T1;GlimmerHMM},{Augustus_model.g2294.t1;Augustus},{ev_type:exonerate/ID=match.2566964.2531/Target=lcl|LCTV02000005_1_prot_PRQ75099_1_5753;exonerate},{ev_type:exonerate/ID=match.2566964.2528/Target=lcl|PJQD01000035_1_prot_POY73695_1_3266;exonerate},{ev_type:exonerate/ID=match.2566964.2532/Target=lcl|BJWK01000005_1_prot_GEM08397_1_2414;exonerate},{ev_type:exonerate/ID=match.2566964.2537/Target=lcl|NW_017264929_1_prot_XP_018273549_1_1060;exonerate},{ev_type:exonerate/ID=match.2566964.2529/Target=lcl|KQ954464_1_prot_KWU47545_1_271;exonerate}
72938	73002	INTRON			{GeneMark_model.2960_t;GeneMark},{GlimmerHMM_glimmerT_2775-T1;GlimmerHMM},{Augustus_model.g2294.t1;Augustus},{ev_type:exonerate/ID=match.2566964.2531/Target=lcl|LCTV02000005_1_prot_PRQ75099_1_5753;exonerate},{ev_type:exonerate/ID=match.2566964.2528/Target=lcl|PJQD01000035_1_prot_POY73695_1_3266;exonerate},{ev_type:exonerate/ID=match.2566964.2532/Target=lcl|BJWK01000005_1_prot_GEM08397_1_2414;exonerate},{ev_type:exonerate/ID=match.2566964.2537/Target=lcl|NW_017264929_1_prot_XP_018273549_1_1060;exonerate},{ev_type:exonerate/ID=match.2566964.2529/Target=lcl|KQ954464_1_prot_KWU47545_1_271;exonerate}
73003	73249	internal+	2	2	{GeneMark_model.2960_t;GeneMark},{GlimmerHMM_glimmerT_2775-T1;GlimmerHMM},{Augustus_model.g2294.t1;Augustus},{ev_type:exonerate/ID=match.2566964.2531/Target=lcl|LCTV02000005_1_prot_PRQ75099_1_5753;exonerate},{ev_type:exonerate/ID=match.2566964.2528/Target=lcl|PJQD01000035_1_prot_POY73695_1_3266;exonerate},{ev_type:exonerate/ID=match.2566964.2537/Target=lcl|NW_017264929_1_prot_XP_018273549_1_1060;exonerate},{ev_type:exonerate/ID=match.2566964.2529/Target=lcl|KQ954464_1_prot_KWU47545_1_271;exonerate}
73250	73310	INTRON			{GeneMark_model.2960_t;GeneMark},{GlimmerHMM_glimmerT_2775-T1;GlimmerHMM},{Augustus_model.g2294.t1;Augustus},{ev_type:exonerate/ID=match.2566964.2531/Target=lcl|LCTV02000005_1_prot_PRQ75099_1_5753;exonerate},{ev_type:exonerate/ID=match.2566964.2528/Target=lcl|PJQD01000035_1_prot_POY73695_1_3266;exonerate},{ev_type:exonerate/ID=match.2566964.2537/Target=lcl|NW_017264929_1_prot_XP_018273549_1_1060;exonerate},{ev_type:exonerate/ID=match.2566964.2529/Target=lcl|KQ954464_1_prot_KWU47545_1_271;exonerate}
73311	73408	internal+	3	1	{GeneMark_model.2960_t;GeneMark},{GlimmerHMM_glimmerT_2775-T1;GlimmerHMM},{Augustus_model.g2294.t1;Augustus},{ev_type:exonerate/ID=match.2566964.2531/Target=lcl|LCTV02000005_1_prot_PRQ75099_1_5753;exonerate},{ev_type:exonerate/ID=match.2566964.2528/Target=lcl|PJQD01000035_1_prot_POY73695_1_3266;exonerate},{ev_type:exonerate/ID=match.2566964.2537/Target=lcl|NW_017264929_1_prot_XP_018273549_1_1060;exonerate},{ev_type:exonerate/ID=match.2566964.2529/Target=lcl|KQ954464_1_prot_KWU47545_1_271;exonerate}
73409	73477	INTRON			{GeneMark_model.2960_t;GeneMark},{GlimmerHMM_glimmerT_2775-T1;GlimmerHMM},{Augustus_model.g2294.t1;Augustus},{ev_type:exonerate/ID=match.2566964.2531/Target=lcl|LCTV02000005_1_prot_PRQ75099_1_5753;exonerate},{ev_type:exonerate/ID=match.2566964.2528/Target=lcl|PJQD01000035_1_prot_POY73695_1_3266;exonerate},{ev_type:exonerate/ID=match.2566964.2532/Target=lcl|BJWK01000005_1_prot_GEM08397_1_2414;exonerate},{ev_type:exonerate/ID=match.2566964.2537/Target=lcl|NW_017264929_1_prot_XP_018273549_1_1060;exonerate},{ev_type:exonerate/ID=match.2566964.2529/Target=lcl|KQ954464_1_prot_KWU47545_1_271;exonerate}
73478	73609	internal+	2	1	{GeneMark_model.2960_t;GeneMark},{GlimmerHMM_glimmerT_2775-T1;GlimmerHMM},{Augustus_model.g2294.t1;Augustus},{ev_type:exonerate/ID=match.2566964.2531/Target=lcl|LCTV02000005_1_prot_PRQ75099_1_5753;exonerate},{ev_type:exonerate/ID=match.2566964.2528/Target=lcl|PJQD01000035_1_prot_POY73695_1_3266;exonerate},{ev_type:exonerate/ID=match.2566964.2532/Target=lcl|BJWK01000005_1_prot_GEM08397_1_2414;exonerate},{ev_type:exonerate/ID=match.2566964.2537/Target=lcl|NW_017264929_1_prot_XP_018273549_1_1060;exonerate},{ev_type:exonerate/ID=match.2566964.2529/Target=lcl|KQ954464_1_prot_KWU47545_1_271;exonerate}
73610	73672	INTRON			{GeneMark_model.2960_t;GeneMark},{GlimmerHMM_glimmerT_2775-T1;GlimmerHMM},{Augustus_model.g2294.t1;Augustus},{ev_type:exonerate/ID=match.2566964.2531/Target=lcl|LCTV02000005_1_prot_PRQ75099_1_5753;exonerate},{ev_type:exonerate/ID=match.2566964.2528/Target=lcl|PJQD01000035_1_prot_POY73695_1_3266;exonerate},{ev_type:exonerate/ID=match.2566964.2532/Target=lcl|BJWK01000005_1_prot_GEM08397_1_2414;exonerate},{ev_type:exonerate/ID=match.2566964.2537/Target=lcl|NW_017264929_1_prot_XP_018273549_1_1060;exonerate},{ev_type:exonerate/ID=match.2566964.2529/Target=lcl|KQ954464_1_prot_KWU47545_1_271;exonerate}
