!! Predictions spanning range 1847 - 84476 [R1]
# EVM prediction: Mode:STANDARD S-ratio: 3.00 1847-3418 orient(+) score(4716.00) noncoding_equivalent(1572.00) raw_noncoding(1572.00) offset(0.00) 
1847	3418	single+	1	3	{Augustus_model.g2783.t1;Augustus},{GeneMark_model.3600_t;GeneMark},{GlimmerHMM_glimmerT_3379-T1;GlimmerHMM}
60466	61120	internal+	3	3	{GeneMark_model.3621_t;GeneMark},{GlimmerHMM_glimmerT_3400-T1;GlimmerHMM},{Augustus_model.g2801.t1;Augustus}
61121	61206	INTRON			{GeneMark_model.3621_t;GeneMark},{GlimmerHMM_glimmerT_3400-T1;GlimmerHMM},{Augustus_model.g2801.t1;Augustus}
61207	61272	internal+	1	3	{GeneMark_model.3621_t;GeneMark},{GlimmerHMM_glimmerT_3400-T1;GlimmerHMM},{Augustus_model.g2801.t1;Augustus}
61273	61344	INTRON			{GeneMark_model.3621_t;GeneMark},{GlimmerHMM_glimmerT_3400-T1;GlimmerHMM},{Augustus_model.g2801.t1;Augustus}
61345	61389	terminal+	1	3	{GeneMark_model.3621_t;GeneMark},{GlimmerHMM_glimmerT_3400-T1;GlimmerHMM},{Augustus_model.g2801.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 3.43 61746-66126 orient(+) score(14237.00) noncoding_equivalent(4151.01) raw_noncoding(5171.24) offset(1020.22) 
61746	61827	initial+	1	1	{Augustus_model.g2802.t1;Augustus},{GlimmerHMM_glimmerT_3401-T1;GlimmerHMM},{GeneMark_model.3622_t;GeneMark}
61828	61899	INTRON			{Augustus_model.g2802.t1;Augustus},{GlimmerHMM_glimmerT_3401-T1;GlimmerHMM},{GeneMark_model.3622_t;GeneMark}
61900	62844	internal+	2	1	{Augustus_model.g2802.t1;Augustus},{GeneMark_model.3622_t;GeneMark}
62845	62910	INTRON			{Augustus_model.g2802.t1;Augustus},{GeneMark_model.3622_t;GeneMark}
62911	63488	internal+	2	3	{Augustus_model.g2802.t1;Augustus},{GeneMark_model.3622_t;GeneMark}
63489	63558	INTRON			{Augustus_model.g2802.t1;Augustus},{GlimmerHMM_glimmerT_3401-T1;GlimmerHMM},{GeneMark_model.3622_t;GeneMark}
63559	64120	internal+	1	1	{Augustus_model.g2802.t1;Augustus},{GlimmerHMM_glimmerT_3401-T1;GlimmerHMM},{GeneMark_model.3622_t;GeneMark}
64121	64202	INTRON			{Augustus_model.g2802.t1;Augustus},{GlimmerHMM_glimmerT_3401-T1;GlimmerHMM},{GeneMark_model.3622_t;GeneMark}
64203	64564	internal+	2	3	{Augustus_model.g2802.t1;Augustus},{GlimmerHMM_glimmerT_3401-T1;GlimmerHMM},{GeneMark_model.3622_t;GeneMark}
64565	64627	INTRON			{Augustus_model.g2802.t1;Augustus},{GlimmerHMM_glimmerT_3401-T1;GlimmerHMM},{GeneMark_model.3622_t;GeneMark}
64628	64698	internal+	1	2	{Augustus_model.g2802.t1;Augustus},{GlimmerHMM_glimmerT_3401-T1;GlimmerHMM},{GeneMark_model.3622_t;GeneMark}
64699	64769	INTRON			{Augustus_model.g2802.t1;Augustus},{GlimmerHMM_glimmerT_3401-T1;GlimmerHMM},{GeneMark_model.3622_t;GeneMark}
64770	64911	internal+	3	3	{Augustus_model.g2802.t1;Augustus},{GlimmerHMM_glimmerT_3401-T1;GlimmerHMM},{GeneMark_model.3622_t;GeneMark}
64912	64981	INTRON			{Augustus_model.g2802.t1;Augustus},{GlimmerHMM_glimmerT_3401-T1;GlimmerHMM},{GeneMark_model.3622_t;GeneMark}
64982	65177	internal+	1	1	{Augustus_model.g2802.t1;Augustus},{GlimmerHMM_glimmerT_3401-T1;GlimmerHMM},{GeneMark_model.3622_t;GeneMark}
65178	65233	INTRON			{Augustus_model.g2802.t1;Augustus},{GlimmerHMM_glimmerT_3401-T1;GlimmerHMM},{GeneMark_model.3622_t;GeneMark}
65234	65432	internal+	2	2	{Augustus_model.g2802.t1;Augustus},{GlimmerHMM_glimmerT_3401-T1;GlimmerHMM},{GeneMark_model.3622_t;GeneMark}
65433	65511	INTRON			{Augustus_model.g2802.t1;Augustus},{GlimmerHMM_glimmerT_3401-T1;GlimmerHMM},{GeneMark_model.3622_t;GeneMark}
65512	65865	internal+	3	2	{Augustus_model.g2802.t1;Augustus},{GlimmerHMM_glimmerT_3401-T1;GlimmerHMM},{GeneMark_model.3622_t;GeneMark}
65866	65979	INTRON			{Augustus_model.g2802.t1;Augustus}
65980	66003	internal+	3	2	{Augustus_model.g2802.t1;Augustus}
66004	66074	INTRON			{Augustus_model.g2802.t1;Augustus},{GeneMark_model.3622_t;GeneMark}
66075	66126	terminal+	3	3	{Augustus_model.g2802.t1;Augustus},{GeneMark_model.3622_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 4.96 66314-68387 orient(+) score(12983.00) noncoding_equivalent(2619.18) raw_noncoding(3513.65) offset(894.47) 
66314	66386	initial+	1	1	{Augustus_model.g2803.t1;Augustus},{GeneMark_model.3623_t;GeneMark}
66387	66532	INTRON			{Augustus_model.g2803.t1;Augustus},{GeneMark_model.3623_t;GeneMark},{ev_type:exonerate/ID=match.2566964.1042/Target=lcl|PJQD01000018_1_prot_POY75248_1_1467;exonerate}
66533	66619	internal+	2	1	{Augustus_model.g2803.t1;Augustus},{GeneMark_model.3623_t;GeneMark},{ev_type:exonerate/ID=match.2566964.1042/Target=lcl|PJQD01000018_1_prot_POY75248_1_1467;exonerate}
66620	66676	INTRON			{Augustus_model.g2803.t1;Augustus},{GeneMark_model.3623_t;GeneMark},{ev_type:exonerate/ID=match.2566964.1042/Target=lcl|PJQD01000018_1_prot_POY75248_1_1467;exonerate}
66677	66749	internal+	2	2	{GlimmerHMM_glimmerT_3401-T1;GlimmerHMM},{Augustus_model.g2803.t1;Augustus},{GeneMark_model.3623_t;GeneMark},{ev_type:exonerate/ID=match.2566964.1042/Target=lcl|PJQD01000018_1_prot_POY75248_1_1467;exonerate}
66750	66813	INTRON			{GlimmerHMM_glimmerT_3401-T1;GlimmerHMM},{Augustus_model.g2803.t1;Augustus},{GeneMark_model.3623_t;GeneMark}
66814	66831	internal+	3	2	{GlimmerHMM_glimmerT_3401-T1;GlimmerHMM},{Augustus_model.g2803.t1;Augustus},{GeneMark_model.3623_t;GeneMark}
66832	66916	INTRON			{GlimmerHMM_glimmerT_3401-T1;GlimmerHMM},{Augustus_model.g2803.t1;Augustus},{GeneMark_model.3623_t;GeneMark}
66917	67072	internal+	3	2	{GlimmerHMM_glimmerT_3401-T1;GlimmerHMM},{Augustus_model.g2803.t1;Augustus},{GeneMark_model.3623_t;GeneMark},{ev_type:exonerate/ID=match.2566964.1042/Target=lcl|PJQD01000018_1_prot_POY75248_1_1467;exonerate},{ev_type:exonerate/ID=match.2566964.3043/Target=lcl|KQ954486_1_prot_KWU43778_1_3941;exonerate},{ev_type:exonerate/ID=match.2566964.1046/Target=lcl|NW_017264935_1_prot_XP_018270508_1_4444;exonerate},{ev_type:exonerate/ID=match.2566964.1036/Target=lcl|LCTV02000008_1_prot_PRQ73425_1_7810;exonerate}
67073	67147	INTRON			{GlimmerHMM_glimmerT_3401-T1;GlimmerHMM},{Augustus_model.g2803.t1;Augustus},{GeneMark_model.3623_t;GeneMark},{ev_type:exonerate/ID=match.2566964.1042/Target=lcl|PJQD01000018_1_prot_POY75248_1_1467;exonerate},{ev_type:exonerate/ID=match.2566964.3043/Target=lcl|KQ954486_1_prot_KWU43778_1_3941;exonerate},{ev_type:exonerate/ID=match.2566964.1046/Target=lcl|NW_017264935_1_prot_XP_018270508_1_4444;exonerate},{ev_type:exonerate/ID=match.2566964.1036/Target=lcl|LCTV02000008_1_prot_PRQ73425_1_7810;exonerate}
67148	67225	internal+	3	2	{GlimmerHMM_glimmerT_3401-T1;GlimmerHMM},{Augustus_model.g2803.t1;Augustus},{GeneMark_model.3623_t;GeneMark},{ev_type:exonerate/ID=match.2566964.1042/Target=lcl|PJQD01000018_1_prot_POY75248_1_1467;exonerate},{ev_type:exonerate/ID=match.2566964.3043/Target=lcl|KQ954486_1_prot_KWU43778_1_3941;exonerate},{ev_type:exonerate/ID=match.2566964.1046/Target=lcl|NW_017264935_1_prot_XP_018270508_1_4444;exonerate},{ev_type:exonerate/ID=match.2566964.1036/Target=lcl|LCTV02000008_1_prot_PRQ73425_1_7810;exonerate}
67226	67289	INTRON			{GlimmerHMM_glimmerT_3401-T1;GlimmerHMM},{Augustus_model.g2803.t1;Augustus},{GeneMark_model.3623_t;GeneMark},{ev_type:exonerate/ID=match.2566964.1042/Target=lcl|PJQD01000018_1_prot_POY75248_1_1467;exonerate},{ev_type:exonerate/ID=match.2566964.3043/Target=lcl|KQ954486_1_prot_KWU43778_1_3941;exonerate},{ev_type:exonerate/ID=match.2566964.1046/Target=lcl|NW_017264935_1_prot_XP_018270508_1_4444;exonerate},{ev_type:exonerate/ID=match.2566964.1036/Target=lcl|LCTV02000008_1_prot_PRQ73425_1_7810;exonerate}
67290	67771	internal+	3	1	{GlimmerHMM_glimmerT_3401-T1;GlimmerHMM},{Augustus_model.g2803.t1;Augustus},{GeneMark_model.3623_t;GeneMark},{ev_type:exonerate/ID=match.2566964.1042/Target=lcl|PJQD01000018_1_prot_POY75248_1_1467;exonerate},{ev_type:exonerate/ID=match.2566964.3043/Target=lcl|KQ954486_1_prot_KWU43778_1_3941;exonerate},{ev_type:exonerate/ID=match.2566964.1046/Target=lcl|NW_017264935_1_prot_XP_018270508_1_4444;exonerate},{ev_type:exonerate/ID=match.2566964.1036/Target=lcl|LCTV02000008_1_prot_PRQ73425_1_7810;exonerate}
67772	67835	INTRON			{GlimmerHMM_glimmerT_3401-T1;GlimmerHMM},{Augustus_model.g2803.t1;Augustus},{GeneMark_model.3623_t;GeneMark},{ev_type:exonerate/ID=match.2566964.1042/Target=lcl|PJQD01000018_1_prot_POY75248_1_1467;exonerate},{ev_type:exonerate/ID=match.2566964.3043/Target=lcl|KQ954486_1_prot_KWU43778_1_3941;exonerate},{ev_type:exonerate/ID=match.2566964.1046/Target=lcl|NW_017264935_1_prot_XP_018270508_1_4444;exonerate},{ev_type:exonerate/ID=match.2566964.1036/Target=lcl|LCTV02000008_1_prot_PRQ73425_1_7810;exonerate}
67836	68199	internal+	2	2	{GlimmerHMM_glimmerT_3401-T1;GlimmerHMM},{Augustus_model.g2803.t1;Augustus},{GeneMark_model.3623_t;GeneMark},{ev_type:exonerate/ID=match.2566964.1042/Target=lcl|PJQD01000018_1_prot_POY75248_1_1467;exonerate},{ev_type:exonerate/ID=match.2566964.3043/Target=lcl|KQ954486_1_prot_KWU43778_1_3941;exonerate},{ev_type:exonerate/ID=match.2566964.1046/Target=lcl|NW_017264935_1_prot_XP_018270508_1_4444;exonerate},{ev_type:exonerate/ID=match.2566964.1036/Target=lcl|LCTV02000008_1_prot_PRQ73425_1_7810;exonerate}
68200	68267	INTRON			{GlimmerHMM_glimmerT_3401-T1;GlimmerHMM},{Augustus_model.g2803.t1;Augustus},{GeneMark_model.3623_t;GeneMark},{ev_type:exonerate/ID=match.2566964.1042/Target=lcl|PJQD01000018_1_prot_POY75248_1_1467;exonerate},{ev_type:exonerate/ID=match.2566964.3043/Target=lcl|KQ954486_1_prot_KWU43778_1_3941;exonerate},{ev_type:exonerate/ID=match.2566964.1046/Target=lcl|NW_017264935_1_prot_XP_018270508_1_4444;exonerate},{ev_type:exonerate/ID=match.2566964.1036/Target=lcl|LCTV02000008_1_prot_PRQ73425_1_7810;exonerate}
68268	68296	internal+	3	1	{GlimmerHMM_glimmerT_3401-T1;GlimmerHMM},{Augustus_model.g2803.t1;Augustus},{GeneMark_model.3623_t;GeneMark},{ev_type:exonerate/ID=match.2566964.1042/Target=lcl|PJQD01000018_1_prot_POY75248_1_1467;exonerate},{ev_type:exonerate/ID=match.2566964.3043/Target=lcl|KQ954486_1_prot_KWU43778_1_3941;exonerate},{ev_type:exonerate/ID=match.2566964.1036/Target=lcl|LCTV02000008_1_prot_PRQ73425_1_7810;exonerate}
68297	68355	INTRON			{Augustus_model.g2803.t1;Augustus},{GeneMark_model.3623_t;GeneMark},{ev_type:exonerate/ID=match.2566964.1042/Target=lcl|PJQD01000018_1_prot_POY75248_1_1467;exonerate},{ev_type:exonerate/ID=match.2566964.3043/Target=lcl|KQ954486_1_prot_KWU43778_1_3941;exonerate},{ev_type:exonerate/ID=match.2566964.1036/Target=lcl|LCTV02000008_1_prot_PRQ73425_1_7810;exonerate}
68356	68387	terminal+	2	3	{Augustus_model.g2803.t1;Augustus},{GeneMark_model.3623_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 2.05 68906-69957 orient(+) score(2719.00) noncoding_equivalent(1323.68) raw_noncoding(2571.10) offset(1247.42) 
68906	68924	initial+	1	1	{Augustus_model.g2804.t1;Augustus},{GeneMark_model.3624_t;GeneMark}
68925	69070	INTRON			{Augustus_model.g2804.t1;Augustus}
69071	69115	internal+	2	1	{Augustus_model.g2804.t1;Augustus}
69116	69261	INTRON			{Augustus_model.g2804.t1;Augustus}
69262	69339	internal+	2	1	{Augustus_model.g2804.t1;Augustus},{GeneMark_model.3624_t;GeneMark}
69340	69529	INTRON			{Augustus_model.g2804.t1;Augustus},{GeneMark_model.3624_t;GeneMark}
69530	69666	internal+	2	3	{Augustus_model.g2804.t1;Augustus},{GeneMark_model.3624_t;GeneMark}
69667	69828	INTRON			{Augustus_model.g2804.t1;Augustus},{GeneMark_model.3624_t;GeneMark},{ev_type:exonerate/ID=match.2566964.3351/Target=lcl|KQ954486_1_prot_KWU43777_1_3940;exonerate}
69829	69957	terminal+	1	3	{GeneMark_model.3624_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 3.82 70816-74820 orient(+) score(18946.00) noncoding_equivalent(4956.61) raw_noncoding(7473.01) offset(2516.40) 
70816	70895	initial+	1	2	{GeneMark_model.3625_t;GeneMark},{Augustus_model.g2805.t1;Augustus},{GlimmerHMM_glimmerT_3402-T1;GlimmerHMM}
70896	70983	INTRON			{GeneMark_model.3625_t;GeneMark},{Augustus_model.g2805.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3153/Target=lcl|KQ954486_1_prot_KWU43776_1_3939;exonerate}
70984	71011	internal+	3	3	{GeneMark_model.3625_t;GeneMark},{Augustus_model.g2805.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3153/Target=lcl|KQ954486_1_prot_KWU43776_1_3939;exonerate}
71012	71102	INTRON			{GeneMark_model.3625_t;GeneMark},{Augustus_model.g2805.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3153/Target=lcl|KQ954486_1_prot_KWU43776_1_3939;exonerate}
71103	71273	internal+	1	3	{GeneMark_model.3625_t;GeneMark},{Augustus_model.g2805.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3153/Target=lcl|KQ954486_1_prot_KWU43776_1_3939;exonerate}
71274	71348	INTRON			{GeneMark_model.3625_t;GeneMark},{Augustus_model.g2805.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3153/Target=lcl|KQ954486_1_prot_KWU43776_1_3939;exonerate}
71349	71432	internal+	1	3	{GeneMark_model.3625_t;GeneMark},{Augustus_model.g2805.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3153/Target=lcl|KQ954486_1_prot_KWU43776_1_3939;exonerate}
71433	71497	INTRON			{GeneMark_model.3625_t;GeneMark},{Augustus_model.g2805.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3153/Target=lcl|KQ954486_1_prot_KWU43776_1_3939;exonerate}
71498	71569	internal+	1	3	{GeneMark_model.3625_t;GeneMark},{Augustus_model.g2805.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3153/Target=lcl|KQ954486_1_prot_KWU43776_1_3939;exonerate}
71570	71647	INTRON			{GeneMark_model.3625_t;GeneMark},{Augustus_model.g2805.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3153/Target=lcl|KQ954486_1_prot_KWU43776_1_3939;exonerate}
71648	71846	internal+	1	1	{GeneMark_model.3625_t;GeneMark},{Augustus_model.g2805.t1;Augustus},{GlimmerHMM_glimmerT_3402-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.3153/Target=lcl|KQ954486_1_prot_KWU43776_1_3939;exonerate}
71847	71926	INTRON			{GeneMark_model.3625_t;GeneMark},{Augustus_model.g2805.t1;Augustus},{GlimmerHMM_glimmerT_3402-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.3153/Target=lcl|KQ954486_1_prot_KWU43776_1_3939;exonerate}
71927	72040	internal+	2	1	{GeneMark_model.3625_t;GeneMark},{Augustus_model.g2805.t1;Augustus},{GlimmerHMM_glimmerT_3402-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.3153/Target=lcl|KQ954486_1_prot_KWU43776_1_3939;exonerate}
72041	72110	INTRON			{GeneMark_model.3625_t;GeneMark},{Augustus_model.g2805.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3153/Target=lcl|KQ954486_1_prot_KWU43776_1_3939;exonerate}
72111	72151	internal+	2	3	{GeneMark_model.3625_t;GeneMark},{Augustus_model.g2805.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3153/Target=lcl|KQ954486_1_prot_KWU43776_1_3939;exonerate}
72152	72214	INTRON			{GeneMark_model.3625_t;GeneMark},{Augustus_model.g2805.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3153/Target=lcl|KQ954486_1_prot_KWU43776_1_3939;exonerate}
72215	72260	internal+	1	1	{GeneMark_model.3625_t;GeneMark},{Augustus_model.g2805.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3153/Target=lcl|KQ954486_1_prot_KWU43776_1_3939;exonerate}
72261	72337	INTRON			{GeneMark_model.3625_t;GeneMark},{Augustus_model.g2805.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3153/Target=lcl|KQ954486_1_prot_KWU43776_1_3939;exonerate}
72338	72378	internal+	2	3	{GeneMark_model.3625_t;GeneMark},{Augustus_model.g2805.t1;Augustus},{GlimmerHMM_glimmerT_3402-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.3153/Target=lcl|KQ954486_1_prot_KWU43776_1_3939;exonerate}
72379	72446	INTRON			{GeneMark_model.3625_t;GeneMark},{Augustus_model.g2805.t1;Augustus},{GlimmerHMM_glimmerT_3402-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.3153/Target=lcl|KQ954486_1_prot_KWU43776_1_3939;exonerate}
72447	72522	internal+	1	1	{GeneMark_model.3625_t;GeneMark},{Augustus_model.g2805.t1;Augustus},{GlimmerHMM_glimmerT_3402-T1;GlimmerHMM}
72523	73087	INTRON			{GeneMark_model.3625_t;GeneMark},{Augustus_model.g2805.t1;Augustus}
73088	73295	internal+	2	2	{GeneMark_model.3625_t;GeneMark},{Augustus_model.g2805.t1;Augustus}
73296	73369	INTRON			{GeneMark_model.3625_t;GeneMark},{Augustus_model.g2805.t1;Augustus},{GlimmerHMM_glimmerT_3402-T1;GlimmerHMM}
73370	73532	internal+	3	3	{GeneMark_model.3625_t;GeneMark},{Augustus_model.g2805.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3124/Target=lcl|BJWK01000006_1_prot_GEM08908_1_2925;exonerate},{ev_type:exonerate/ID=match.2566964.3112/Target=lcl|KQ954486_1_prot_KWU43775_1_3938;exonerate}
73533	73604	INTRON			{GeneMark_model.3625_t;GeneMark},{Augustus_model.g2805.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3124/Target=lcl|BJWK01000006_1_prot_GEM08908_1_2925;exonerate},{ev_type:exonerate/ID=match.2566964.3129/Target=lcl|NW_017264935_1_prot_XP_018270511_1_4447;exonerate},{ev_type:exonerate/ID=match.2566964.3112/Target=lcl|KQ954486_1_prot_KWU43775_1_3938;exonerate},{ev_type:exonerate/ID=match.2566964.3125/Target=lcl|LCTV02000008_1_prot_PRQ73429_1_7814;exonerate}
73605	73854	internal+	1	1	{GeneMark_model.3625_t;GeneMark},{Augustus_model.g2805.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3124/Target=lcl|BJWK01000006_1_prot_GEM08908_1_2925;exonerate},{ev_type:exonerate/ID=match.2566964.3129/Target=lcl|NW_017264935_1_prot_XP_018270511_1_4447;exonerate},{ev_type:exonerate/ID=match.2566964.3112/Target=lcl|KQ954486_1_prot_KWU43775_1_3938;exonerate},{ev_type:exonerate/ID=match.2566964.3125/Target=lcl|LCTV02000008_1_prot_PRQ73429_1_7814;exonerate}
73855	73915	INTRON			{GeneMark_model.3625_t;GeneMark},{Augustus_model.g2805.t1;Augustus},{GlimmerHMM_glimmerT_3402-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.3124/Target=lcl|BJWK01000006_1_prot_GEM08908_1_2925;exonerate},{ev_type:exonerate/ID=match.2566964.3129/Target=lcl|NW_017264935_1_prot_XP_018270511_1_4447;exonerate},{ev_type:exonerate/ID=match.2566964.3112/Target=lcl|KQ954486_1_prot_KWU43775_1_3938;exonerate},{ev_type:exonerate/ID=match.2566964.3125/Target=lcl|LCTV02000008_1_prot_PRQ73429_1_7814;exonerate}
73916	74133	internal+	2	3	{GeneMark_model.3625_t;GeneMark},{Augustus_model.g2805.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3124/Target=lcl|BJWK01000006_1_prot_GEM08908_1_2925;exonerate},{ev_type:exonerate/ID=match.2566964.3129/Target=lcl|NW_017264935_1_prot_XP_018270511_1_4447;exonerate},{ev_type:exonerate/ID=match.2566964.3112/Target=lcl|KQ954486_1_prot_KWU43775_1_3938;exonerate},{ev_type:exonerate/ID=match.2566964.3125/Target=lcl|LCTV02000008_1_prot_PRQ73429_1_7814;exonerate}
74134	74196	INTRON			{GeneMark_model.3625_t;GeneMark},{Augustus_model.g2805.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3124/Target=lcl|BJWK01000006_1_prot_GEM08908_1_2925;exonerate},{ev_type:exonerate/ID=match.2566964.3129/Target=lcl|NW_017264935_1_prot_XP_018270511_1_4447;exonerate},{ev_type:exonerate/ID=match.2566964.3112/Target=lcl|KQ954486_1_prot_KWU43775_1_3938;exonerate},{ev_type:exonerate/ID=match.2566964.3125/Target=lcl|LCTV02000008_1_prot_PRQ73429_1_7814;exonerate}
74197	74377	internal+	1	1	{GeneMark_model.3625_t;GeneMark},{Augustus_model.g2805.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3124/Target=lcl|BJWK01000006_1_prot_GEM08908_1_2925;exonerate},{ev_type:exonerate/ID=match.2566964.3129/Target=lcl|NW_017264935_1_prot_XP_018270511_1_4447;exonerate},{ev_type:exonerate/ID=match.2566964.3112/Target=lcl|KQ954486_1_prot_KWU43775_1_3938;exonerate},{ev_type:exonerate/ID=match.2566964.3125/Target=lcl|LCTV02000008_1_prot_PRQ73429_1_7814;exonerate}
74378	74443	INTRON			{GeneMark_model.3625_t;GeneMark},{Augustus_model.g2805.t1;Augustus},{GlimmerHMM_glimmerT_3402-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.3124/Target=lcl|BJWK01000006_1_prot_GEM08908_1_2925;exonerate},{ev_type:exonerate/ID=match.2566964.3129/Target=lcl|NW_017264935_1_prot_XP_018270511_1_4447;exonerate},{ev_type:exonerate/ID=match.2566964.3112/Target=lcl|KQ954486_1_prot_KWU43775_1_3938;exonerate},{ev_type:exonerate/ID=match.2566964.3125/Target=lcl|LCTV02000008_1_prot_PRQ73429_1_7814;exonerate}
74444	74736	internal+	2	3	{GeneMark_model.3625_t;GeneMark},{GlimmerHMM_glimmerT_3402-T1;GlimmerHMM}
74737	74811	INTRON			{GeneMark_model.3625_t;GeneMark},{GlimmerHMM_glimmerT_3402-T1;GlimmerHMM}
74812	74820	terminal+	1	3	{GeneMark_model.3625_t;GeneMark},{GlimmerHMM_glimmerT_3402-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 2.53 75990-78598 orient(+) score(8032.00) noncoding_equivalent(3180.70) raw_noncoding(4115.00) offset(934.30) 
75990	76221	initial+	1	1	{GeneMark_model.3626_t;GeneMark},{GlimmerHMM_glimmerT_3403-T1;GlimmerHMM}
76222	76290	INTRON			{GeneMark_model.3626_t;GeneMark},{Augustus_model.g2805.t1;Augustus},{GlimmerHMM_glimmerT_3403-T1;GlimmerHMM}
76291	76433	internal+	2	3	{GeneMark_model.3626_t;GeneMark},{Augustus_model.g2805.t1;Augustus}
76434	76522	INTRON			{GeneMark_model.3626_t;GeneMark},{Augustus_model.g2805.t1;Augustus}
76523	76809	internal+	1	2	{GeneMark_model.3626_t;GeneMark},{Augustus_model.g2805.t1;Augustus}
76810	76869	INTRON			{GeneMark_model.3626_t;GeneMark},{Augustus_model.g2805.t1;Augustus}
76870	77010	internal+	3	2	{GeneMark_model.3626_t;GeneMark},{Augustus_model.g2805.t1;Augustus}
77011	77077	INTRON			{GeneMark_model.3626_t;GeneMark},{Augustus_model.g2805.t1;Augustus}
77078	77114	internal+	3	3	{GeneMark_model.3626_t;GeneMark},{Augustus_model.g2805.t1;Augustus}
77115	77205	INTRON			{GeneMark_model.3626_t;GeneMark},{Augustus_model.g2805.t1;Augustus}
77206	77565	internal+	1	3	{GeneMark_model.3626_t;GeneMark},{Augustus_model.g2805.t1;Augustus}
77566	77637	INTRON			{GeneMark_model.3626_t;GeneMark},{Augustus_model.g2805.t1;Augustus},{GlimmerHMM_glimmerT_3403-T1;GlimmerHMM}
77638	77653	internal+	1	1	{GeneMark_model.3626_t;GeneMark},{Augustus_model.g2805.t1;Augustus},{GlimmerHMM_glimmerT_3403-T1;GlimmerHMM}
77654	77717	INTRON			{GeneMark_model.3626_t;GeneMark},{Augustus_model.g2805.t1;Augustus},{GlimmerHMM_glimmerT_3403-T1;GlimmerHMM}
77718	77808	internal+	2	2	{GeneMark_model.3626_t;GeneMark},{Augustus_model.g2805.t1;Augustus},{GlimmerHMM_glimmerT_3403-T1;GlimmerHMM}
77809	77869	INTRON			{GeneMark_model.3626_t;GeneMark},{Augustus_model.g2805.t1;Augustus},{GlimmerHMM_glimmerT_3403-T1;GlimmerHMM}
77870	78069	internal+	3	1	{GeneMark_model.3626_t;GeneMark},{Augustus_model.g2805.t1;Augustus},{GlimmerHMM_glimmerT_3403-T1;GlimmerHMM}
78070	78140	INTRON			{GeneMark_model.3626_t;GeneMark},{Augustus_model.g2805.t1;Augustus},{GlimmerHMM_glimmerT_3403-T1;GlimmerHMM}
78141	78233	internal+	2	1	{GeneMark_model.3626_t;GeneMark},{Augustus_model.g2805.t1;Augustus},{GlimmerHMM_glimmerT_3403-T1;GlimmerHMM}
78234	78299	INTRON			{GeneMark_model.3626_t;GeneMark},{Augustus_model.g2805.t1;Augustus},{GlimmerHMM_glimmerT_3403-T1;GlimmerHMM}
78300	78598	terminal+	2	3	{GeneMark_model.3626_t;GeneMark},{Augustus_model.g2805.t1;Augustus},{GlimmerHMM_glimmerT_3403-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 2.82 78812-81942 orient(-) score(11722.00) noncoding_equivalent(4162.84) raw_noncoding(5219.00) offset(1056.16) 
78974	78812	terminal-	6	6	{GlimmerHMM_glimmerT_3404-T1;GlimmerHMM},{Augustus_model.g2806.t1;Augustus},{GeneMark_model.3627_t;GeneMark}
79035	78975	INTRON			{GlimmerHMM_glimmerT_3404-T1;GlimmerHMM},{Augustus_model.g2806.t1;Augustus},{GeneMark_model.3627_t;GeneMark}
79094	79036	internal-	4	5	{GlimmerHMM_glimmerT_3404-T1;GlimmerHMM},{Augustus_model.g2806.t1;Augustus},{GeneMark_model.3627_t;GeneMark}
